Filename;Annotation tag;Lower right corner X;Lower right corner Y;Occluded,On another road;Origin file;Origin frame number;Origin track;Origin track frame number;Upper left corner X;Upper left corner Y
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/rightLaneMustTurn_1330546501.avi_image8.png;rightLaneMustTurn;967.0;134.0;0,0;aiua120214-0/DataLog02142012_external_camera.avi;15944.0;rightLaneMustTurn_1330546501.avi;42.0;901.0;67.0
negativePics/nosign03244.png;;;;;;;;;;
negativePics/nosign08250.png;;;;;;;;;;
aiua120214-2/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/speedLimit_1331866727.avi_image11.png;speedLimit65;766.0;205.0;0,0;aiua120214-2/DataLog02142012_002_external_camera.avi;10341.0;speedLimit_1331866727.avi;57.0;726.0;155.0
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/stop_1330546190.avi_image8.png;stop;392.0;249.0;0,0;aiua120214-0/DataLog02142012_external_camera.avi;8560.0;stop_1330546190.avi;42.0;371.0;227.0
negativePics/nosign08529.png;;;;;;;;;;
negativePics/nosign09762.png;;;;;;;;;;
negativePics/nosign03167.png;;;;;;;;;;
aiua120214-2/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/speedLimit_1331866345.avi_image0.png;speedLimit30;716.0;193.0;0,0;aiua120214-2/DataLog02142012_002_external_camera.avi;1895.0;speedLimit_1331866345.avi;2.0;699.0;172.0
negativePics/nosign11266.png;;;;;;;;;;
negativePics/nosign03986.png;;;;;;;;;;
aiua120306-0/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/speedLimit35_1333394481.avi_image7.png;speedLimit35;684.0;219.0;0,0;aiua120306-0/DataLog02142012_002_external_camera.avi;62710.0;speedLimit35_1333394481.avi;37.0;656.0;184.0
negativePics/nosign11613.png;;;;;;;;;;
aiua120306-0/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/school_1333388523.avi_image3.png;school;760.0;185.0;0,0;aiua120306-0/DataLog02142012_002_external_camera.avi;8031.0;school_1333388523.avi;17.0;729.0;154.0
negativePics/nosign02432.png;;;;;;;;;;
negativePics/nosign05207.png;;;;;;;;;;
negativePics/nosign04362.png;;;;;;;;;;
negativePics/nosign10502.png;;;;;;;;;;
aiua120306-0/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/addedLane_1333393944.avi_image4.png;addedLane;715.0;205.0;0,0;aiua120306-0/DataLog02142012_002_external_camera.avi;52603.0;addedLane_1333393944.avi;22.0;681.0;171.0
aiua120306-1/frameAnnotations-DataLog02142012_003_external_camera.avi_annotations/stopAhead_1333396732.avi_image7.png;stopAhead;687.0;188.0;0,0;aiua120306-1/DataLog02142012_003_external_camera.avi;40580.0;stopAhead_1333396732.avi;37.0;644.0;145.0
aiua120306-0/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/noLeftTurn_1333393280.avi_image3.png;noLeftTurn;288.0;198.0;0,0;aiua120306-0/DataLog02142012_002_external_camera.avi;43205.0;noLeftTurn_1333393280.avi;17.0;258.0;168.0
negativePics/nosign11460.png;;;;;;;;;;
aiua120306-1/frameAnnotations-DataLog02142012_003_external_camera.avi_annotations/signalAhead_1333395101.avi_image1.png;signalAhead;597.0;206.0;0,0;aiua120306-1/DataLog02142012_003_external_camera.avi;8924.0;signalAhead_1333395101.avi;7.0;573.0;181.0
negativePics/nosign01889.png;;;;;;;;;;
aiua120306-1/frameAnnotations-DataLog02142012_003_external_camera.avi_annotations/pedestrianCrossing_1333396047.avi_image8.png;pedestrianCrossing;972.0;157.0;0,0;aiua120306-1/DataLog02142012_003_external_camera.avi;27050.0;pedestrianCrossing_1333396047.avi;42.0;886.0;70.0
aiua120214-2/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/stop_1331866955.avi_image12.png;signalAhead;658.0;228.0;0,0;aiua120214-2/DataLog02142012_002_external_camera.avi;15633.0;stop_1331866955.avi;122.0;637.0;207.0
negativePics/nosign00839.png;;;;;;;;;;
negativePics/nosign04195.png;;;;;;;;;;
aiua120214-2/frameAnnotations-DataLog02142012_002_external_camera.avi_annotations/stop_1331867282.avi_image0.png;stop;853.0;189.0;1,0;aiua120214-2/DataLog02142012_002_external_camera.avi;23078.0;stop_1331867282.avi;2.0;814.0;152.0
aiua120214-0/frameAnnotations-DataLog02142012_external_camera.avi_annotations/signalAhead_1330546728.avi_image2.png;signalAhead;590.0;190.0;0,0;aiua120214-0/DataLog02142012_external_camera.avi;21174.0;signalAhead_1330546728.avi;12.0;581.0;181.0
negativePics/nosign00658.png;;;;;;;;;;
aiua120306-1/frameAnnotations-DataLog02142012_003_external_camera.avi_annotations/stop_1333397461.avi_image15.png;stop;132.0;177.0;0,0;aiua120306-1/DataLog02142012_003_external_camera.avi;51192.0;stop_1333397461.avi;77.0;100.0;145.0
negativePics/nosign07521.png;;;;;;;;;;
